Key,English,Japanese
advanced_Quest_Treasure_07,progression,Raphael's Treasure Map,トレジャークエスト・ラファエル
advanced_Quest_Treasure_01Desc,progression,Taylor's Treasure Map,トレジャークエスト・テイラー
advanced_Quest_Treasure_02Desc,progression,Nickole's Treasure Map,トレジャークエスト・ニコール
advanced_Quest_Treasure_03Desc,progression,Stephan's Treasure Map,トレジャークエスト・スティーブン
advanced_Quest_Treasure_04Desc,progression,Jennifer's Treasure Map,トレジャークエスト・ジェニファー
advanced_Quest_Treasure_05Desc,progression,Claude's Treasure Map,トレジャークエスト・クロード
advanced_Quest_Treasure_06Desc,progression,Sarah's Treasure Map,トレジャークエスト・サラ
advanced_Quest_Treasure_07Desc,progression,Raphael's Treasure Map,トレジャークエスト・ラファエル
advanced_Quest_TreasureComplete,progression,Complete Advanced Treasure Quest,トレジャークエスト修了(上級)
advanced_Quest_TreasureCompleteDesc,progression,Complete Advanced Treasure Quest,トレジャークエスト修了(上級)
advanced_Quest_TreasureCompleteLongDesc,progression,Complete Advanced Treasure Quest,トレジャークエスト修了(上級)

